node,turbines
n574,528.5228
n575,784.8799
n576,294.1445
n577,542.4317
n578,278.329
n579,201.2139
n580,574.5364
n581,589.203
n582,663.8643
n583,201.0111
n584,554.7433
n585,232.1259
n586,415.2152
n587,139.0721
n588,589.6005
n589,582.8423
n590,261.6622
n591,154.6309
n592,322.628
n593,247.699
n594,370.2429
n595,200.8403
n596,384.9893
n597,185.6498
n598,184.4437
n599,416.0897
n600,247.3869
n601,399.8108
n602,291.0111
n603,261.0555
n604,399.4696
n605,292.083
n606,184.321
n607,338.346
n608,261.8238
n609,491.4953
n610,10937.8062
n611,338.6796
n612,614.747
n613,1041.0318
n614,1025.6564
n615,783.9593
n616,582.9908
n617,7797.3542
n618,677.2109
n619,1069.8856
n620,829.5713
n621,3213.9187
n622,1057.1576
n623,640.7326
n624,870.6326
n625,598.1326
n626,551.3955
n627,491.1619
n628,353.0049
n629,1532.6064
n630,1031.2174
n631,995.8132
n632,1183.9096
n633,687.7315
n634,1138.5625
n635,437.0231
n636,343.4966
n637,231.6215
n638,749.4373
n639,575.3034
n640,729.9575
n641,374.1725
n642,575.8988
n643,1249.6781
n644,576.3436
n645,526.7463
n646,733.1164
n647,339.8038
n648,620.458
n649,586.0462
n650,683.8257
n651,479.6426
n652,404.6018
n653,373.8194
n654,888.4484
n655,356.3708
n656,295.5324
n657,555.9025
n658,661.1305
n659,496.5651
n660,372.0596
n661,309.6431
n662,201.1698
n663,248.416
n664,692.7193
n665,466.2875
n666,432.7915
n667,653.529
n668,108.7122
n669,801.9704
n670,232.9188
n671,510.033
n672,778.3787
n673,774.4795
n674,573.9053
n675,388.1108
n676,508.0601
n677,2508.0081
n678,784.015
n679,587.383
n680,543.6293
n681,878.2077
n682,742.3168
n683,870.1687
n684,659.4311
n685,759.1065
n686,894.9449
n687,728.535
n688,1067.3289
n689,294.7413
n690,1057.27
n691,691.578
n692,966.198
n693,558.7141
n694,709.4382
n695,784.633
n696,1071.1573
n697,929.8425
n698,154.0955
n699,1258.7569
n700,323.3247
n701,401.482
n702,844.0909
n703,3003.0158
n704,553.598
n705,123.624
n706,494.8556
n707,789.2499
n708,1240.5683
n709,991.3273
n710,4637.5478
n711,721.7321
n712,340.1608
n713,2759.6634
n714,15.4526
n715,459.676
n716,1531.8838
n717,139.0485
n718,2346.8231
n719,587.0552
n720,792.8086
n721,388.0536
n722,1519.8568
n723,1771.5156
n724,3068.072
n725,1674.87
n726,943.4397
n727,3013.2218
n728,2080.8745
n729,928.4885
n730,3400.7257
n731,1348.8287
n732,1037.0237
n733,1148.8352
n734,2886.644
n735,1331.4441
n736,650.4658
n737,613.0609
n738,1736.2276
n739,805.9635
n740,278.5408
n741,743.1916
n742,1674.0729
n743,1503.6972
n744,139.2468
n745,1996.7915
n746,1315.9019
n747,1408.3655
n748,2135.2143
n749,1220.9194
n750,710.4777
n751,1789.9682
n752,308.4058
n753,1724.9318
n754,1106.4959
n755,2684.1106
n756,856.8681
n757,1496.7173
n758,3150.9597
n760,1957.7361
n761,213.915
n762,2024.3249
n763,2073.1179
n764,15.2532
n765,1510.8149
n766,30.4893
n767,294.3339
n768,3494.2729
n769,4133.8715
n770,1817.964
n771,1042.2301
n772,1764.0915
n773,900.1185
n774,656.7352
n775,1519.2532
n776,1485.7525
n777,481.3466
n778,1604.7214
n779,1812.2135
n780,1756.3006
n781,590.844
n782,1857.7972
n783,295.2244
n784,373.5638
n785,558.6622
n786,894.4126
n787,310.6888
n788,919.3971
n789,2917.1832
n790,637.6585
n791,882.9489
n792,2955.4452
n793,278.5791
n794,539.1364
n795,463.6987
n796,493.6687
n797,2212.8328
n798,309.8997
n799,293.9552
n800,1040.7598
n801,752.4262
n802,548.9907
n803,310.1866
n804,294.3272
n805,172.4313
n806,955.5524
n807,447.462
n808,1098.6585
n809,819.4799
n810,527.5369
n811,354.5632
n812,1330.7888
n813,1806.9294
n814,1411.0747
n815,663.1171
n816,823.5509
n817,696.8703
n818,1201.702
n819,1501.1964
n820,794.0737
n821,248.2249
n822,748.3322
n823,771.3687
n824,1396.8834
n825,1108.704
n826,279.5924
n827,466.5504
n828,217.1049
n829,722.7038
n830,433.6405
n831,327.009
n832,664.8283
n833,294.9657
n834,724.7548
n835,706.9663
n836,342.3863
n837,1550.0944
n838,248.2853
n839,217.0489
n840,402.5246
n841,497.3714
n842,887.8955
n843,679.806
n844,345.6404
n845,294.435
n846,890.91
n847,675.8498
n848,372.6213
n849,1207.9627
n850,753.903
n851,279.2469
n852,782.114
n853,247.8014
n854,1685.8724
n855,386.5227
n856,799.2935
n857,544.0928
n858,216.7494
n859,297.5422
n860,568.6753
n861,502.1155
n862,508.8988
n863,887.7843
n864,418.6403
n865,533.7889
n866,360.0775
n867,600.2038
n868,309.3911
n869,123.318
n870,454.4987
n871,200.6949
n872,61.7155
