node,cells
n836,321.3619
n837,1454.9099
n838,233.0392
n839,203.7209
n840,377.8073
n841,466.83
n842,833.3737
n843,638.0621
n844,324.4161
n845,276.3551
n846,836.2031
n847,634.3488
n848,349.7403
n849,1133.787
n850,707.6091
n851,262.0996
n852,734.0878
n853,232.585
n854,1582.3503
n855,362.788
n856,750.2124
n857,510.6825
n858,203.4398
n859,279.2715
n860,533.7554
n861,471.2828
n862,477.6495
n863,833.2693
n864,392.9334
n865,501.0112
n866,337.9667
n867,563.3479
n868,290.3927
n869,115.7456
n870,426.5899
n871,188.3711
n872,57.9258
n873,291.9767
n874,582.8783
n875,246.4243
n876,390.3168
n877,231.668
n878,435.3796
n879,394.2747
n880,441.4255
n881,909.868
n882,352.6114
n883,610.9961
n884,279.3435
n885,1566.0151
n886,612.4315
n887,392.2207
n888,235.3456
n889,353.223
n890,463.2222
n891,715.6226
n892,587.8423
n893,476.6933
n894,623.54
n895,158.9704
n896,616.4873
n897,392.9706
n898,508.1947
n899,432.7791
n900,319.8634
n901,1127.8533
n902,439.8818
n903,418.8046
n904,361.7134
n905,815.7623
n906,1387.6598
n907,998.3591
n908,550.3421
n909,527.7558
n910,566.8892
n911,478.1091
n912,449.9876
n913,333.5465
n914,794.7806
n915,407.7467
n916,510.4549
n917,542.3929
n918,732.0165
n919,189.4498
n920,203.7274
n921,1388.802
n922,479.6222
n923,1395.1963
n924,160.0527
n925,262.1607
n926,510.4584
n927,346.6704
n928,556.7958
n929,796.0125
n930,657.0592
n931,1059.1667
n932,567.3112
n933,894.3492
n934,320.933
n935,1116.1817
n936,433.6945
n937,1375.5431
n938,378.7232
n939,218.6439
n940,494.2533
n941,797.9932
n942,803.1589
n943,593.918
n944,189.5701
n945,421.9859
n946,748.8219
n947,347.2185
n948,346.7663
n949,393.2773
n950,440.0708
n951,1470.4579
n952,306.263
n953,879.1604
n954,367.1599
n955,653.6563
n956,293.5286
n957,1008.2922
n958,291.7535
n959,320.4868
n960,454.5842
n961,717.1611
n962,567.3088
n963,392.1789
n964,320.9585
n965,336.2607
n966,335.1368
n967,408.9686
n968,234.1573
n969,352.0028
n970,410.1188
n971,596.4239
n972,366.3651
n973,526.4932
n974,524.9834
n975,594.9433
n976,525.6326
n977,761.2519
n978,509.3752
n979,1085.1072
n980,363.4525
n981,772.2799
n982,554.8802
n983,551.8275
n984,478.512
n985,277.5449
n986,581.6738
n987,583.8324
n988,728.7853
n989,333.7126
n990,203.2497
n991,246.3816
n992,461.6714
n993,848.1428
n994,440.6766
n995,704.6324
n996,723.1692
n997,693.401
n998,1489.3927
n999,457.3585
n1000,751.3688
n1001,559.2999
n1002,1282.0155
n1003,559.5422
n1004,720.2269
n1005,676.7039
n1006,1430.0627
n1007,1366.3553
n1008,706.2256
n1009,1323.7947
n1010,1960.4016
n1011,1398.9609
n1012,970.9514
n1013,1761.1554
n1014,600.5397
n1015,615.5176
n1016,760.7711
n1017,1487.3477
n1018,730.3406
n1019,1171.0477
n1020,204.0014
n1021,1733.0608
n1022,794.4326
n1023,480.9167
n1024,759.548
n1025,1524.5908
n1026,514.6104
n1027,940.2813
n1028,510.2497
n1029,249.8322
n1030,1177.56
n1031,1062.1668
n1032,957.1287
n1033,857.5247
n1034,609.454
n1035,3168.7292
n1036,624.9601
n1037,1785.3424
n1038,3475.8365
n1039,2018.4317
n1040,1018.2793
n1041,1091.2331
n1042,1108.0729
n1043,974.5325
n1044,618.7941
n1045,1049.0972
n1046,310.309
n1047,368.1504
n1048,486.2501
n1049,575.5364
n1050,294.2249
n1051,591.0276
n1052,1285.0541
n1053,650.0954
n1054,529.9669
n1055,885.746
n1056,870.3116
n1057,353.8563
n1058,427.5365
n1059,1029.3196
n1060,574.62
n1061,945.5271
n1062,1269.1839
n1063,1122.2644
n1064,736.012
n1065,886.2915
n1066,471.624
n1067,603.8944
n1068,1588.9224
n1069,1356.7181
n1070,1077.9607
n1071,1726.6106
n1072,766.0099
n1073,1547.3133
n1074,1179.4326
n1075,3719.7904
n1076,1961.0514
n1077,2003.5715
n1078,1445.185
n1079,1873.5451
n1080,2314.2556
n1081,4230.2361
n1082,2921.2852
n1083,2638.8121
n1084,2154.3347
n1085,2636.3555
n1086,1487.883
n1087,797.0235
n1088,1474.9865
n1089,2746.1982
n1090,1358.2523
n1091,707.7546
n1092,604.0674
n1093,3765.6038
n1094,3025.879
n1095,708.3415
n1096,1075.6465
n1097,1562.9959
n1098,486.7334
n1099,1653.0644
n1100,1076.4698
n1101,1090.6498
n1102,1994.0487
n1103,1151.8781
n1104,2729.563
n1105,974.9377
n1106,1166.5248
n1107,987.7314
n1108,1381.6617
n1109,1119.6336
n1110,1108.0101
n1111,516.9408
n1112,1122.2921
n1113,384.0927
n1114,1209.7022
n1115,1045.0079
n1116,736.449
n1117,1240.7785
n1118,1323.9056
n1119,1845.9233
n1120,1135.5277
n1121,1876.5075
n1122,1078.5829
n1123,885.979
n1124,2939.0147
n1125,1623.6314
n1126,709.0206
n1127,1136.4981
n1128,1797.1541
n1129,738.81
n1130,1226.4383
n1131,1004.1677
n1132,930.4252
n1133,546.6563
n1134,855.3163
n1135,590.3858
n1136,517.21
n1137,753.4981
n1138,398.9833
n1139,516.3193
n1140,709.0752
n1141,811.7127
n1142,192.0769
n1143,472.267
n1144,679.4481
n1145,693.9711
n1146,295.5216
n1147,3017.7737
n1148,797.2084
n1149,1330.0046
n1150,221.6115
n1151,1196.7925
n1152,678.2479
n1153,369.2698
n1155,516.8332
n1156,782.7327
n1157,265.9912
n1158,1549.4271
n1159,517.2233
n1160,280.6917
n1161,118.2158
n1162,236.4214
n1163,2401.5624
n1164,1004.2
n1165,458.0994
n1166,177.2838
n1167,856.7585
n1168,413.7384
n1169,428.4807
n1170,1075.4845
n1171,693.5789
n1172,619.24
n1173,442.5579
n1174,1282.8696
n1175,4373.6445
n1176,1667.2834
n1177,1018.4976
n1178,398.4533
n1179,501.6288
n1180,3301.8992
n1181,1578.1043
n1182,1268.8925
n1183,1077.3635
n1184,486.9588
n1185,619.66
n1186,3631.7567
n1187,1607.7831
n1188,1400.9998
n1189,3341.1853
n1190,3493.1945
n1191,2756.5942
n1192,2916.0646
n1194,3227.1597
n1195,1208.7339
n1196,1254.0319
n1197,856.7523
n1198,1446.6121
n1199,1092.7056
n1200,442.1279
n1201,472.7436
n1202,295.3858
n1203,428.3606
n1204,427.6699
n1205,442.5979
n1206,930.683
n1207,871.2765
n1208,900.9479
n1209,561.2498
n1210,1402.3022
n1211,767.9013
n1212,856.4273
n1213,753.0382
n1214,812.0336
n1215,767.7881
n1216,590.4628
n1217,560.8508
n1218,767.59
n1219,1016.0225
n1220,662.2348
n1221,897.0739
n1222,778.4363
n1223,910.9573
n1224,1029.3027
n1226,866.0279
n1227,2679.8646
n1228,2618.1003
n1229,1087.8953
n1230,1456.4099
n1231,2164.291
n1232,1545.2694
n1233,1277.5142
n1234,762.6292
n1235,1703.6392
n1236,308.0591
n1237,2289.8012
n1238,2289.4144
n1239,1158.9976
n1240,747.8482
n1241,2459.0903
n1242,1304.265
n1244,2046.5085
n1250,14.1017
n1251,450.9727
n1253,10255.5209
n1254,2830.2246
n1257,10115.692
n1258,4345.8326
n1259,1805.4102
n1260,920.6011
n1261,2523.0634
n1262,6389.9106
n1265,3292.3095
n1266,2746.0409
n1267,3069.419
n1268,1797.19
n1269,1524.5347
n1270,668.2136
n1271,494.2633
n1272,1218.6138
n1273,3552.2577
n1274,4444.8836
n1275,4225.3436
n1277,2864.9808
n1278,1136.4698
n1279,291.838
n1280,1558.2817
n1281,1877.5671
n1282,1587.5912
n1283,845.8963
n1284,496.2669
n1285,3039.1658
n1286,435.4125
n1287,869.0519
n1288,1355.5711
n1289,1905.2007
n1290,650.9981
n1291,2764.3653
n1292,1133.5034
n1293,392.9355
n1294,568.147
n1295,1196.4433
n1296,1400.0363
n1297,1310.304
n1298,726.033
n1299,1270.1121
n1300,1166.6492
n1301,1091.2297
n1302,378.8326
n1303,262.819
n1304,306.1661
n1305,554.2598
n1306,1080.5049
n1307,1052.2354
n1308,409.3609
n1309,716.4831
n1310,919.1028
n1311,1546.2033
n1312,1855.1075
n1313,1524.3076
n1314,960.0982
n1315,203.9699
n1316,654.9573
n1317,320.6176
n1318,349.3989
n1319,189.2601
n1320,334.5604
n1321,755.8511
n1322,522.994
n1323,971.9263
n1324,551.1005
n1325,275.3438
n1326,680.1544
n1327,1375.685
n1328,390.4416
n1329,680.5887
n1330,956.8692
n1331,797.8208
n1332,811.9169
n1333,1533.9489
n1334,1573.4525
n1335,835.1902
n1336,1966.8194
n1337,1189.0031
n1338,814.1928
n1339,1021.2103
n1341,2512.2075
n1342,1146.9984
n1343,453.6356
n1344,1185.8891
n1345,938.0625
n1346,879.364
n1347,1229.0526
n1348,467.9897
n1349,790.6185
n1350,483.3951
n1351,674.3382
n1352,542.7
n1353,381.7577
n1354,528.8311
n1355,1043.4404
n1356,926.306
n1357,805.0095
n1358,1347.3295
n1359,864.8374
n1360,366.8276
n1361,631.1616
n1362,220.1796
n1363,337.7373
n1364,220.3192
n1365,411.3902
n1366,323.3179
n1367,823.4289
n1368,1821.566
n1369,1367.7484
n1370,1041.9097
n1371,543.0667
n1372,3968.8649
n1373,380.0813
n1374,219.1731
n1375,1622.7101
n1376,1975.6732
n1377,1332.4023
n1378,981.2856
n1379,879.5183
n1380,249.5808
n1381,337.5324
n1382,469.8094
n1383,1451.7382
n1384,161.4262
n1385,484.7412
n1386,381.843
n1387,1087.7919
n1388,528.9464
n1389,2898.6533
n1390,818.1908
n1391,672.7122
n1392,1374.6932
n1393,746.2812
n1394,819.9357
n1395,293.0189
n1396,2058.6818
n1397,469.0797
n1398,440.0838
n1400,879.2
n1401,396.1035
n1402,572.6737
n1403,601.5524
n1404,499.2021
n1405,308.3512
n1406,1088.1614
n1407,1586.7
n1408,894.5234
n1409,176.0476
n1410,571.9856
n1411,671.8475
n1412,863.5602
n1413,204.7511
n1414,643.6029
n1415,672.0341
n1416,423.3502
n1417,728.731
n1418,1484.2384
n1419,1118.146
n1420,188.4965
n1421,770.3942
n1422,1632.1552
n1423,921.2965
n1424,533.8515
n1425,982.7652
n1426,1337.2478
n1427,576.4557
n1428,259.8535
n1429,607.1252
n1430,1581.725
n1431,1163.734
n1432,1921.2113
n1433,597.2843
n1434,1036.861
n1435,981.88
n1436,1232.8149
n1437,1453.2878
n1438,1452.8113
n1439,645.2674
n1440,1213.4888
n1441,204.8027
n1442,730.3678
n1443,838.326
n1444,763.8507
n1445,1168.6583
n1446,1139.603
n1447,760.3869
n1448,1392.8269
n1449,1010.9242
n1450,924.6171
n1451,219.6081
n1452,468.3807
n1453,643.4428
n1454,701.2612
n1455,379.3102
n1456,1181.6195
n1457,757.6773
n1458,1571.185
n1459,1277.6339
n1460,811.3624
n1461,1129.1094
n1462,986.2465
n1463,886.0827
n1464,2000.9401
n1465,611.1319
n1466,524.0204
n1467,145.7799
n1468,904.7268
n1469,306.4147
n1470,364.288
n1471,743.7929
n1472,1513.1299
n1473,351.7477
n1474,409.9276
n1475,512.8846
n1476,1024.2407
n1477,424.2419
n1478,336.2685
n1479,730.45
n1480,144.3204
n1481,100.9773
n1482,868.6709
n1483,390.967
n1484,217.6048
n1485,4587.8431
