Generator,TotalRevenue,TotalProduction,NumberofS/U,Capacity,MarginalCost,S/Ucost,FixedO&MCost,VarO&MCost,LevelizedCapitalCost,PrimaryFuel
KopsIIPumpedStoragePowerPlantAustria,0,0,0,0,0,0,0,0,0,0
EguzonHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
AglosGeorgiosThermalPowerPlantGreece,0,0,0,0,0,0,0,0,0,0
ZagrebTeToCHPPowerPlantCroatia,0,0,0,0,0,0,0,0,0,0
ChatelardVallorcinePumpedStoragePowerPlantSwitzerland,0,0,0,0,0,0,0,0,0,0
RavenHydroelectricPowerPlantMacedonia,0,0,0,0,0,0,0,0,0,0
PoceradyCoalPowerPlantCzech,0,0,0,0,0,0,0,0,0,0
SeysselHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
Großkrotzenburg(Staudinger)CoalCHPPowerStationGermany,0,0,0,0,0,0,0,0,0,0
WestfalenHammCoalPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
BancaironHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
WehrPumpedStorageHydroelectricPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
HarculoHC60(IJsselCentrale)PowerPlantNetherlands,0,0,0,0,0,0,0,0,0,0
KomotiniCCGTPowerPlantGreece,0,0,0,0,0,0,0,0,0,0
SanFioranoPumpedStoragePowerPlantItaly,0,0,0,0,0,0,0,0,0,0
Tismana(Motru)HydroelectricPowerStationRomania,0,0,0,0,0,0,0,0,0,0
Djerdap11(IronGateII)HydroelectricPowerStationSerbia,0,0,0,0,0,0,0,0,0,0
SchkopauCHPCoalPowerStationGermany,0,0,0,0,0,0,0,0,0,0
ElchoChorzowCHPCoalPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
SolinaPumpedStorageHydroelectricPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
DlouheStranePumpedStorageHydroelectricPowerPlantCzechRepublic,0,0,0,0,0,0,0,0,0,0
GallileistraatCHPPowerPlantNetherlands,0,0,0,0,0,0,0,0,0,0
VeltheimCoalPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
LadceHydroelectricPowerPlantSlovakia,0,0,0,0,0,0,0,0,0,0
PuertodeBarcelonaCCGTPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
AlekoHydroelectricPowerPlantBulgaria,0,0,0,0,0,0,0,0,0,0
AcecaThermalPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
AbwindenAstenHydroelectricPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
KispestCCGTCHPPowerPlantHungary,0,0,0,0,0,0,0,0,0,0
VresovaCCGTPowerPlantCzechRepublic,0,0,0,0,0,0,0,0,0,0
IngolstadtThermalPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
HCOrstedCHPPowerPlantDenmark,0,0,0,0,0,0,0,0,0,0
E.ONOstigliaCCGTPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
SarransHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
BajinaBastaPumpedStorageHydroelectricPowerPlantSerbia,0,0,0,0,0,0,0,0,0,0
MontoirdeBretagneCCGTPowerPlantFrance,0,0,0,0,0,0,0,0,0,0
TuilieresHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
PurmerendCHPPowerPlantNetherlands,0,0,0,0,0,0,0,0,0,0
FerlachMariaRainHydroelectricPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
CETBucurestiWestCHPPRomania,0,0,0,0,0,0,0,0,0,0
AgrasHydroelectricPowerPlantGreece,0,0,0,0,0,0,0,0,0,0
OttanaOilCHPPowerPlant,0,0,0,0,0,0,0,0,0,0
ENELLaSpezia(EugenioMontale)CCGTandThermalPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
MaregesHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
SaintGeorgesdeCommiersHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
GravelinesNuclearPowerPlantFrance,0,0,0,0,0,0,0,0,0,0
AmagerCoalCHPPowerPlantDenmark,0,0,0,0,0,0,0,0,0,0
TirrenoPowerVadoLigureCCGTPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
LardyHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
CroixHydroelectricPowerPlantSwitzerland,0,0,0,0,0,0,0,0,0,0
MontaltodiCastro(AlessandroVolta)CCGTPowerPlant,0,0,0,0,0,0,0,0,0,0
FloriffouxHydroelectricPowerPlantBelgium,0,0,0,0,0,0,0,0,0,0
DolnaOdraCHPCoalPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
SimmeringCCGTPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
MaltaUnterstufe(Moellbruecke)HydroelectricPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
Cartegana(ElFangal)CCGTPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
PlatanovrisiHydroelectricPowerPlantGreece,0,0,0,0,0,0,0,0,0,0
AmercoeurCCGTPowerPlantBelgium,0,0,0,0,0,0,0,0,0,0
NordjyllandCoalCHPPowerStationDenmark,0,0,0,0,0,0,0,0,0,0
SorgeniaBertonicoTuranoLodigianoCCGTPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
E.ONFiumeSantoCoalPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
BrennilisCombustionGasPowerPlantFrance,0,0,0,0,0,0,0,0,0,0
KelenfoldCCGTCHPPowerPlantHungary,0,0,0,0,0,0,0,0,0,0
SainteTulleI,0,0,0,0,0,0,0,0,0,0
GrabovicaHydroelectricPowerPlantBosniaandHerzegovina,0,0,0,0,0,0,0,0,0,0
OttenheimWilheringHydroelectricPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
A2ACassanod'AddaGasCCGTItaly,0,0,0,0,0,0,0,0,0,0
AliveriThermalPowerPlantGreece,0,0,0,0,0,0,0,0,0,0
AlmarazNuclearPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
Rhue(La)HydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
MelnikICoalPowerPlantsCzech,0,0,0,0,0,0,0,0,0,0
CastirlaHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
LaMaxeCombustionCoalPowerPlantFrance,0,0,0,0,0,0,0,0,0,0
MostarskoBlatoHydroelectricPowerPlantBosniaandHerzegovina,0,0,0,0,0,0,0,0,0,0
TruelHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
DalkiaPoznanKarolinCHPPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
SkawinaCHPCoalPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
TirrenoPowerNapoliLevanteCCGTPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
EdlingHydroelectricPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
GorzowCHPPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
TorraoHydroelectricPowerPlantPortugal,0,0,0,0,0,0,0,0,0,0
StrekovHydroelectricPowerPlantCzechRepublic,0,0,0,0,0,0,0,0,0,0
ENELRossanoThermalPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
ChastangHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
DormagenCCGTCHPPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
JouquesHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
KalimantsiHydroelectricPowerPlantMacedonia,0,0,0,0,0,0,0,0,0,0
CsepelCCGTPowerPlantHungary,0,0,0,0,0,0,0,0,0,0
Aceca4FenosaCCGTPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
VillalcampoHydroelectricPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
EdisonCandelaCCGTPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
TVKCCGTCHPPowerPlantHungary,0,0,0,0,0,0,0,0,0,0
LeibstadtNuclearPowerPlantSwitzerland,0,0,0,0,0,0,0,0,0,0
BoxbergCoalPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
PecMliniHydroelectricPowerPlantBosniaandHerzegovina,0,0,0,0,0,0,0,0,0,0
AsnaesCoalCHPPowerPlantDenmark,0,0,0,0,0,0,0,0,0,0
MainzWiesbadenCCGTCHPPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
LavaldeCere1,0,0,0,0,0,0,0,0,0,0
BruggeHerdersbrugCCGTPowerPlantBelgium,0,0,0,0,0,0,0,0,0,0
JanschwaldeCoalPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
HaeuslingPumpedStoragePowerPlantAustria,0,0,0,0,0,0,0,0,0,0
AcerraPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
